"Registration";"Lfz.-Muster/Typ";"Hersteller - Eigentümer/Halter"
"HB-2284";"NIMBUS-4DM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2285";"DG-500 M";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-2286";"VENTUS-2cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2288";"ASH 26 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2289";"VENTUS-2cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2290";"VENTUS-2cM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2291";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2292";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2297";"HK 36 TTC";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-2302";"PICCOLO B";"TECHNOFLUG LEICHTFLUGZEUGBAU GMBH"
"HB-2303";"DG-400";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-2307";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2310";"HK 36 TTC";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-2311";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2312";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2314";"HK 36 TTC";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-2315";"ASW 24 TOP";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2316";"ASH 26 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2317";"VENTUS-2cM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2319";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2320";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2321";"IS-28M2/GR";"INTREPRINDEREA DE CONSTRUCTII AERONAUTICE-BRASOV (IAR)"
"HB-2322";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2324";"HK 36 TTC";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-2325";"VENTUS-2cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2327";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2328";"HK 36 TTC";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-2329";"ASH 26 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2330";"ASH 26 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2332";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2335";"HK 36 TTC-ECO";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-2336";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2337";"VENTUS-2cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2338";"HK 36 TTC";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-2339";"NIMBUS-4DM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-234";"GRUNAU BABY II";"EDMUND SCHNEIDER, FLUGZEUGBAU"
"HB-2340";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2341";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2342";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2344";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2347";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2348";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2350";"VENTUS-2cM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2351";"ASH 25 M";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2355";"HK 36 TTC";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-2356";"DUO DISCUS T";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2360";"HK 36 TTC";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-2361";"IS-28M2/GR";"INTREPRINDEREA DE CONSTRUCTII AERONAUTICE-BRASOV (IAR)"
"HB-2362";"SF 25 C";"SCHEIBE FLUGZEUGBAU GMBH"
"HB-2363";"HK 36 TTS";"HOAC-AUSTRIA GESMBH"
"HB-2364";"SF 25 B";"SCHEIBE FLUGZEUGBAU GMBH"
"HB-2366";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2367";"VENTUS-2cM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2368";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2369";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2371";"NIMBUS-4DM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2372";"NIMBUS-4DM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2373";"HK 36 TC";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-2374";"HK 36 TC";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-2376";"HK 36 TTC";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-2377";"HK 36 TTC";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-2378";"S10-VT";"STEMME GMBH & CO KG"
"HB-2379";"ASH 25 M";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2384";"NIMBUS-4DM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2385";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2390";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2392";"VENTUS-2cM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2393";"ASH 25 M";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2394";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2396";"DG-800 B";"DG FLUGZEUGBAU GMBH"
"HB-2397";"ASH 26 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2401";"ASH 25 M";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2402";"S10-VT";"STEMME GMBH & CO KG"
"HB-2404";"ASH 26 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2405";"E1 ANTARES";"LANGE FLUGZEUGBAU GMBH"
"HB-2406";"E1 ANTARES";"LANGE FLUGZEUGBAU GMBH"
"HB-2407";"E1 ANTARES";"LANGE FLUGZEUGBAU GMBH"
"HB-2408";"VENTUS-2cM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2409";"ASW 28-18 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2411";"CARAT A";"AMS-FLIGHT, D.O.O."
"HB-2412";"E1 ANTARES";"LANGE FLUGZEUGBAU GMBH"
"HB-2414";"E1 ANTARES";"LANGE FLUGZEUGBAU GMBH"
"HB-2417";"E1 ANTARES";"LANGE FLUGZEUGBAU GMBH"
"HB-2419";"DISCUS-2cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2420";"NIMBUS-4M";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2422";"SF 25 C";"SCHEIBE FLUGZEUGBAU GMBH"
"HB-2423";"ASH 26 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2424";"DUO DISCUS T";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2426";"E1 ANTARES";"LANGE FLUGZEUGBAU GMBH"
"HB-2427";"DISCUS-2cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2429";"E1 ANTARES";"LANGE AVIATION GMBH"
"HB-2430";"NIMBUS-4DM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2431";"VENTUS-2cM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2432";"DISCUS-2cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2433";"VENTUS-2cM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2434";"DG-808 C";"DG-FLUGZEUGBAU GMBH"
"HB-2436";"E1 ANTARES";"LANGE AVIATION GMBH"
"HB-2437";"VENTUS-2cM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2438";"DG-808 C";"DG-FLUGZEUGBAU GMBH"
"HB-2439";"DISCUS-2cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2440";"E1 ANTARES";"LANGE AVIATION GMBH"
"HB-2441";"DG-808 C";"DG-FLUGZEUGBAU GMBH"
"HB-2442";"DG-808 C";"DG-FLUGZEUGBAU GMBH"
"HB-2443";"ASH 26 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2444";"ASW 28-18 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2445";"DISCUS-2cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2446";"DG-808 C";"DG-FLUGZEUGBAU GMBH"
"HB-2447";"ASW 27-18 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2448";"NIMBUS-4DM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2449";"DG-808 C";"DG-FLUGZEUGBAU GMBH"
"HB-2450";"ASK 21 MI";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2451";"AVO 68-R 115";"M&D FLUGZEUGBAU GMBH & CO. KG"
"HB-2452";"E1 ANTARES";"LANGE AVIATION GMBH"
"HB-2453";"VENTUS-2cM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2454";"E1 ANTARES";"LANGE AVIATION GMBH"
"HB-2455";"DUO DISCUS T";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2456";"LS 10-st";"DG-FLUGZEUGBAU GMBH"
"HB-2457";"DUO DISCUS T";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2458";"ASH 26 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2459";"HK 36 TTC";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-2460";"DUO DISCUS T";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2462";"S10-VT";"STEMME AG"
"HB-2463";"ASW 27-18 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2464";"DISCUS-2cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2465";"ASH 31 MI";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2466";"DISCUS-2cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2467";"ARCUS T";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2468";"LS 9";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-2469";"ASH 26 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2470";"ARCUS T";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2471";"ARCUS M";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2472";"ASH 31 MI";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2473";"ASW 27-18 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2474";"DG-808 C";"DG-FLUGZEUGBAU GMBH"
"HB-2475";"E1 ANTARES";"LANGE AVIATION GMBH"
"HB-2478";"DG-808 C";"DG-FLUGZEUGBAU GMBH"
"HB-2479";"NIMBUS-4M";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2480";"ARCUS M";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2481";"DG-1000M";"DG-FLUGZEUGBAU GMBH"
"HB-2482";"ARCUS M";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2483";"ARCUS T";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2486";"ARCUS T";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2487";"DISCUS-2cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2488";"DG-808 C";"DG-FLUGZEUGBAU GMBH"
"HB-2489";"VENTUS-2cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2490";"VENTUS-2cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2491";"DG-808 C";"DG-FLUGZEUGBAU GMBH"
"HB-2492";"DUO DISCUS T";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2493";"DG-808 C";"DG-FLUGZEUGBAU GMBH"
"HB-2494";"VENTUS-2cM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2496";"ARCUS T";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2497";"ARCUS T";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2498";"ASH 31 MI";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2499";"E1 ANTARES";"LANGE FLUGZEUGBAU GMBH"
"HB-2500";"ARCUS M";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2502";"DUO DISCUS T";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2504";"ARCUS T";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2505";"DG-1000M";"DG-FLUGZEUGBAU GMBH"
"HB-2506";"ASH 31 MI";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2507";"ASW 27-18 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2508";"ASH 26 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2509";"DISCUS-2cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2510";"ASH 25 EB 28";"BINDER MOTORENBAU GMBH"
"HB-2511";"S6-RT";"STEMME AG"
"HB-2512";"ASH 31 MI";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2514";"VENTUS-2cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2515";"S10-VT";"STEMME AG"
"HB-2516";"ASH 31 MI";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2517";"GLASFLÜGEL 304 MS";"HPH, SPOL. S R.O."
"HB-2520";"ASH 31 MI";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2524";"ARCUS T";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2525";"ARCUS M";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2526";"ARCUS M";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2527";"VENTUS-2cM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2528";"ARCUS T";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2546";"ASW 27-18 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-255";"L-SPATZ 55";"SCHEIBE FLUGZEUGBAU GMBH"
"HB-2552";"ASH 31 MI";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2559";"ASH 31 MI";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-257";"MOSWEY II A";"FLUGTECHNISCHE AUSBILDUNGSANLAGE BELPMOOS"
"HB-2601";"GLASFLÜGEL 304 MS";"HPH, SPOL. S R.O."
"HB-2608";"DG-808 C";"DG-FLUGZEUGBAU GMBH"
"HB-2610";"S10-VT";"STEMME AG"
"HB-280";"S 21 H";"KARPF SEGELFLUGZEUGBAU"
"HB-3008";"ASW 24";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3011";"LS 4-a";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3015";"ASK 23 B";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3017";"SZD-51-1";"PZL-BIELSKO"
"HB-3022";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3024";"ASW 24";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3025";"LS 4-a";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3026";"ASK 21";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3027";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3028";"CELSTAR GA-1";"CELAIR (EDMS) BPK"
"HB-3029";"ASK 21";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3032";"LS 7-WL";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3034";"LS 4-a";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3038";"ASK 21";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3039";"DG-600/18";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-3041";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3043";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3047";"ASH 25";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3048";"LS 7";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3049";"ASH 25";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3050";"DG-500 ELAN TRAINER";"ELAN LINE D.O.O."
"HB-3051";"B4-PC 11AF";"PILATUS FLUGZEUGWERKE AG"
"HB-3054";"ASK 23 B";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3055";"ASK 23 B";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3059";"DG-600/18";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-3062";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3064";"ASH 25";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3068";"LS 7-WL";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3071";"VENTUS C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3072";"DG-300 ELAN";"ELAN LINE D.O.O."
"HB-3074";"LS 4-b";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3076";"LS 4-b";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3081";"JANUS Ce";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3083";"DG-500/22 ELAN";"ELAN LINE D.O.O."
"HB-3085";"LS 6-c18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3089";"101 A";"SOCIÉTÉ NOUVELLE CENTRAIR"
"HB-3090";"101 A";"SOCIÉTÉ NOUVELLE CENTRAIR"
"HB-3091";"ASK 23 B";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3094";"DISCUS CS";"ORLICAN AKCIOVA SPOLECNOST"
"HB-3095";"SF 34";"SCHEIBE FLUGZEUGBAU GMBH"
"HB-3097";"DG-500/22 ELAN";"ELAN LINE D.O.O."
"HB-3098";"DISCUS CS";"ORLICAN AKCIOVA SPOLECNOST"
"HB-3099";"ASK 21";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3100";"JANUS Ce";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3101";"DISCUS CS";"ORLICAN AKCIOVA SPOLECNOST"
"HB-3105";"DISCUS CS";"ORLICAN AKCIOVA SPOLECNOST"
"HB-3108";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3109";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3112";"SZD-51-1";"PZL-BIELSKO"
"HB-3115";"LS 6-18w";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3117";"LS 4-b";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3118";"SZD-55-1";"PZL-BIELSKO"
"HB-3120";"LS 4-b";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3122";"DG-300 ELAN";"ELAN LINE D.O.O."
"HB-3126";"SWIFT S-1";"ZAKLAD REMONTOW I PRODUKCJI SPRZETU LOTNICZEGO E MARGANSKI"
"HB-3127";"LS 6-c";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3129";"DG-200/17 C";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-3130";"ASW 22";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-3131";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3132";"JANUS Ce";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3133";"LS 4-b";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3136";"SZD-51-1";"PZL-BIELSKO"
"HB-3143";"ASK 21";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3144";"LS 4-b";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3145";"LS 4-b";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3146";"LS 6-c18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3147";"101 B";"SOCIÉTÉ NOUVELLE CENTRAIR"
"HB-3150";"DG-500 ELAN TRAINER";"ELAN LINE D.O.O."
"HB-3151";"DG-800 S";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-3152";"DG-800 S";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-3153";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3154";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3155";"DG-300 ELAN";"ELAN LINE D.O.O."
"HB-3156";"ASW 24 B";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3157";"SF 27 A";"SCHEIBE FLUGZEUGBAU GMBH"
"HB-3158";"LS 6-18w";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3161";"LS 6-18w";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3166";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3167";"LS 6-c18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3170";"LS 8-a";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3171";"LS 4-b";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3173";"DG-800 S";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-3174";"LS 4-b";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3175";"LS 6-c18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3179";"GLASFLÜGEL 304";"GLASFLÜGEL DEUTSCH-BRASILIANISCHE FLUGZEUG- UND FAHRZEUGBAU GMBH"
"HB-3180";"DG-800 S";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-3182";"LS 8-a";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3185";"DG-500 ELAN ORION";"ELAN LINE D.O.O."
"HB-3187";"LS 4-b";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3191";"ASH 25";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3192";"VENTUS-2C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3194";"VENTUS-2A";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3197";"DG-500 ELAN ORION";"ELAN LINE D.O.O."
"HB-3201";"DG-500/20 ELAN";"ELAN LINE D.O.O."
"HB-3204";"DG-500 ELAN ORION";"ELAN LINE D.O.O."
"HB-3205";"DG-500 ELAN ORION";"ELAN LINE D.O.O."
"HB-3206";"LS 8-a";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3207";"VENTUS-2C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3209";"ASW 27";"ALEXANDER SCHLEICHER GMBH & CO."
"HB-3210";"LS 6-c18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3211";"LS 8-a";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3212";"101 A";"SOCIÉTÉ NOUVELLE CENTRAIR"
"HB-3213";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3214";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3220";"LS 4-b";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3223";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3224";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3225";"ASK 21";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3226";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3227";"DG-500 ELAN ORION";"ELAN LINE D.O.O."
"HB-3228";"DG-500 ELAN ORION";"ELAN LINE D.O.O."
"HB-3229";"DG-500 ELAN ORION";"ELAN LINE D.O.O."
"HB-3230";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3232";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3234";"VENTUS-2C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3236";"ASW 27";"ALEXANDER SCHLEICHER GMBH & CO."
"HB-3237";"LS 8-18";"DG-FLUGZEUGBAU GMBH"
"HB-3239";"ASW 27";"ALEXANDER SCHLEICHER GMBH & CO."
"HB-3240";"ASW 27";"ALEXANDER SCHLEICHER GMBH & CO."
"HB-3241";"MDM-1";"ZAKLAD REMONTOW I PRODUKCJI SPRZETU LOTNICZEGO E MARGANSKI"
"HB-3244";"101 A";"SOCIÉTÉ NOUVELLE CENTRAIR"
"HB-3246";"VENTUS-2C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3249";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
